d,cr
2016-08-01,"	0.018326693"
2016-08-02,"	0.018440233"
2016-08-03,"	0.017049491"
2016-08-04,"	0.010372021"
2016-08-05,"	0.012457135"
2016-08-06,"	0.013558486"
2016-08-07,"	0.015157559"
2016-08-08,"	0.0196574"
2016-08-09,"	0.016904645"
2016-08-10,"	0.012017665"
2016-08-11,"	0.011325105"
2016-08-12,"	0.013634879"
2016-08-13,"	0.010899644"
2016-08-14,"	0.012472588"
2016-08-15,"	0.016242938"
2016-08-16,"	0.015495648"
2016-08-17,"	0.012498364"
2016-08-18,"	0.013996764"
2016-08-19,"	0.01266638"
2016-08-20,"	0.012303259"
2016-08-21,"	0.012026239"
2016-08-22,"	0.016209411"
2016-08-23,"	0.013644083"
2016-08-24,"	0.01301974"
2016-08-25,"	0.01246609"
2016-08-26,"	0.013974544"
2016-08-27,"	0.013929849"
2016-08-28,"	0.017366742"
2016-08-29,"	0.018350742"
2016-08-30,"	0.022051536"
2016-08-31,"	0.012978901"
2016-09-01,"	0.011837269"
2016-09-02,"	0.015269837"
2016-09-03,"	0.012269939"
2016-09-04,"	0.011480968"
2016-09-05,"	0.024922526"
2016-09-06,"	0.017315211"
2016-09-07,"	0.018051619"
2016-09-08,"	0.015619516"
2016-09-09,"	0.01987315"
2016-09-10,"	0.014475601"
2016-09-11,"	0.023327644"
2016-09-12,"	0.018317726"
2016-09-13,"	0.015316436"
2016-09-14,"	0.012330656"
2016-09-15,"	0.01454872"
2016-09-16,"	0.012858556"
2016-09-17,"	0.013875444"
2016-09-18,"	0.016956468"
2016-09-19,"	0.016840844"
2016-09-20,"	0.014531549"
2016-09-21,"	0.010864459"
2016-09-22,"	0.0090018"
2016-09-23,"	0.013859575"
2016-09-24,"	0.013653705"
2016-09-25,"	0.016767922"
2016-09-26,"	0.017231096"
2016-09-27,"	0.013856476"
2016-09-28,"	0.010154419"
2016-09-29,"	0.012446939"
2016-09-30,"	0.009848571"
2016-10-01,"	0.009940261"
2016-10-02,"	0.015853903"
2016-10-03,"	0.019391741"
2016-10-04,"	0.015556115"
2016-10-05,"	0.01405791"
2016-10-06,"	0.011397356"
2016-10-07,"	0.011753183"
2016-10-08,"	0.010138714"
2016-10-09,"	0.011063792"
2016-10-10,"	0.016954248"
2016-10-11,"	0.011879636"
2016-10-12,"	0.011173184"
2016-10-13,"	0.012386072"
2016-10-14,"	0.013088812"
2016-10-15,"	0.009840651"
2016-10-16,"	0.010977746"
2016-10-17,"	0.013621976"
2016-10-18,"	0.012050485"
2016-10-19,"	0.009910682"
2016-10-20,"	0.009183925"
2016-10-21,"	0.010384807"
2016-10-22,"	0.010398264"
2016-10-23,"	0.014115308"
2016-10-24,"	0.01423098"
2016-10-25,"	0.012653703"
2016-10-26,"	0.014239433"
2016-10-27,"	0.010758164"
2016-10-28,"	0.010532712"
2016-10-29,"	0.010592686"
2016-10-30,"	0.013354437"
2016-10-31,"	0.016364666"
2016-11-01,"	0.014479885"
2016-11-02,"	0.014591813"
2016-11-03,"	0.013584609"
2016-11-04,"	0.013339362"
2016-11-05,"	0.011820791"
2016-11-06,"	0.01145876"
2016-11-07,"	0.014888696"
2016-11-08,"	0.014325693"
2016-11-09,"	0.01279089"
2016-11-10,"	0.014203425"
2016-11-11,"	0.011085331"
2016-11-12,"	0.011003796"
2016-11-13,"	0.011758558"
2016-11-14,"	0.014596805"
2016-11-15,"	0.014492754"
2016-11-16,"	0.01018513"
2016-11-17,"	0.014758391"
2016-11-18,"	0.012521266"
2016-11-19,"	0.010112911"
2016-11-20,"	0.009506899"
2016-11-21,"	0.011819939"
2016-11-22,"	0.011422846"
2016-11-23,"	0.011623696"
2016-11-24,"	0.017969584"
2016-11-25,"	0.041575308"
2016-11-26,"	0.0166889"
2016-11-27,"	0.017290505"
2016-11-28,"	0.026711625"
2016-11-29,"	0.014569331"
2016-11-30,"	0.016175198"
2016-12-01,"	0.009108305"
2016-12-02,"	0.013251426"
2016-12-03,"	0.011576818"
2016-12-04,"	0.013583115"
2016-12-05,"	0.012953809"
